RunID,seed,log_inv_sq_dist_m,seed_x_m,seed_y_m
Run_1_1,1,-18.158698318461635,5.442167492583394e-06,2.9644507938064635e-05
Run_1_1,2,-19.046854250909085,5.613845947664231e-05,6.65117462631315e-05
Run_1_1,3,-18.373533918388453,9.375979355536402e-05,6.522156072314828e-05
Run_2_1,1,-16.233793370714768,2.407292975112796e-06,8.023071407806128e-05
Run_2_1,2,-17.130776859601884,5.1942588784731926e-05,7.304382808506489e-05
Run_2_1,3,-16.722947612476904,2.059096477460116e-05,7.234174858313055e-05
Run_2_1,4,-16.438980932177408,7.120640391949565e-05,9.87894083140418e-05
Run_2_1,5,-16.104686384732513,2.7272126474417747e-05,4.751297133043409e-06
Run_2_1,6,-16.214374971871408,6.676597748883068e-05,6.630860781297088e-06
Run_2_1,7,-16.467982871966015,9.483734064269812e-05,5.5040341196581725e-05
Run_2_1,8,-16.38871764387806,8.415735275484622e-05,9.201375793199986e-05
Run_2_1,9,-16.70145973463746,4.7918490390293305e-05,9.279873345512898e-05
Run_2_1,10,-16.772851421709664,8.2650077319704e-05,5.993939419277013e-05
Run_2_1,11,-16.029549404538944,1.0761975613422691e-05,1.1351385968737304e-05
Run_2_1,12,-16.44939481894662,2.213453829754144e-05,2.4729840131476523e-05
Run_2_1,13,-17.014638076313393,6.717478365171701e-05,4.514940101653338e-05
Run_2_1,14,-16.867199149648602,5.053169666789472e-05,3.097986318171025e-05
Run_2_1,15,-16.328810438627826,8.849425918888301e-05,2.6089174463413656e-05
Run_2_1,16,-17.10168883804026,3.5604692250490193e-05,5.3756098821759225e-05
Run_2_1,17,-16.611309574821153,5.732138501480222e-05,9.60832873824984e-05
Run_2_1,18,-17.002222179754856,5.091687752865255e-05,7.998386931139976e-05
Run_2_1,19,-17.004507351243486,5.508991004899145e-05,7.951222094707191e-05
Run_2_1,20,-16.744039217119678,3.561209205072373e-05,8.72811995446682e-05
Run_3_1,1,-16.628056497909505,7.985588633455336e-05,6.507663349620998e-05
Run_3_1,2,-16.168887925313122,6.569372608792038e-05,1.181987205054611e-05
Run_3_1,3,-16.53716892819486,6.0938193253241485e-05,2.519813589751721e-05
Run_3_1,4,-16.879940490186577,4.4795630616135897e-05,8.063234742730856e-05
Run_3_1,5,-16.647893045194753,5.3805025434121495e-05,8.98029288975522e-05
Run_3_1,6,-16.144259497591953,9.72232433501631e-05,4.48105332441628e-05
Run_3_1,7,-16.11738654481719,3.145052732434124e-05,9.30981687270105e-06
Run_3_1,8,-16.87174728515273,2.8931035939604047e-05,7.055353748146445e-05
Run_3_1,9,-17.00968794825707,6.0254564858041705e-05,4.832905435469002e-05
Run_3_1,10,-16.46235994792591,3.728973893448711e-05,2.150869613979012e-05
Run_3_1,11,-16.95465083784173,5.06578549509868e-05,7.728462179657072e-05
Run_3_1,12,-16.17251837758926,1.3095102249644696e-05,9.430259566288442e-05
Run_3_1,13,-16.553195481242852,4.522550760302693e-05,2.3552209232002496e-05
Run_3_1,14,-16.09132495463408,6.327141681686044e-06,9.158876005094498e-05
Run_3_1,15,-17.121671061348895,5.171912910882384e-05,5.08764460682869e-05
Run_3_1,16,-16.298369517779523,2.0642640511505308e-05,9.437008041422817e-05
Run_3_1,17,-15.955705764666881,9.476470765657723e-05,9.43461659597233e-05
Run_3_1,18,-16.843114131959222,2.5030836951918905e-05,6.44214593572542e-05
Run_3_1,19,-17.079126372322534,5.0672695762477815e-05,4.712101526092738e-05
Run_3_1,20,-16.147397878171734,3.2021510880440475e-06,8.27303733676672e-05
Run_3_1,21,-16.484740417944796,3.268489008769393e-05,9.329809623304756e-05
