x,y,pattern,target_intensity,realized_intensity,radius,pts_per_cluster,id
5.442167492583394e-6,2.9644507938064635e-5,poisson,2,3,0,0,1
5.613845947664231e-5,6.65117462631315e-5,poisson,2,3,0,0,1
9.375979355536402e-5,6.522156072314828e-5,poisson,2,3,0,0,1
2.407292975112796e-6,8.023071407806128e-5,poisson,20,20,0,0,2
5.1942588784731926e-5,7.304382808506489e-5,poisson,20,20,0,0,2
2.0590964774601162e-5,7.234174858313055e-5,poisson,20,20,0,0,2
7.120640391949565e-5,9.87894083140418e-5,poisson,20,20,0,0,2
2.7272126474417747e-5,4.751297133043409e-6,poisson,20,20,0,0,2
6.676597748883068e-5,6.630860781297088e-6,poisson,20,20,0,0,2
9.483734064269812e-5,5.5040341196581725e-5,poisson,20,20,0,0,2
8.415735275484622e-5,9.201375793199986e-5,poisson,20,20,0,0,2
4.7918490390293305e-5,9.279873345512898e-5,poisson,20,20,0,0,2
8.2650077319704e-5,5.9939394192770124e-5,poisson,20,20,0,0,2
1.0761975613422693e-5,1.1351385968737304e-5,poisson,20,20,0,0,2
2.213453829754144e-5,2.4729840131476523e-5,poisson,20,20,0,0,2
6.717478365171701e-5,4.514940101653338e-5,poisson,20,20,0,0,2
5.053169666789472e-5,3.097986318171025e-5,poisson,20,20,0,0,2
8.849425918888301e-5,2.6089174463413656e-5,poisson,20,20,0,0,2
3.5604692250490193e-5,5.3756098821759225e-5,poisson,20,20,0,0,2
5.732138501480222e-5,9.60832873824984e-5,poisson,20,20,0,0,2
5.091687752865255e-5,7.998386931139976e-5,poisson,20,20,0,0,2
5.508991004899145e-5,7.951222094707191e-5,poisson,20,20,0,0,2
3.561209205072373e-5,8.72811995446682e-5,poisson,20,20,0,0,2
7.985588633455336e-5,6.507663349620998e-5,poisson,20,24,0,0,3
6.569372608792038e-5,1.181987205054611e-5,poisson,20,24,0,0,3
6.0938193253241485e-5,2.5198135897517206e-5,poisson,20,24,0,0,3
4.4795630616135897e-5,8.063234742730856e-5,poisson,20,24,0,0,3
5.3805025434121495e-5,8.98029288975522e-5,poisson,20,24,0,0,3
9.72232433501631e-5,4.48105332441628e-5,poisson,20,24,0,0,3
3.145052732434124e-5,9.30981687270105e-6,poisson,20,24,0,0,3
2.8931035939604047e-5,7.055353748146445e-5,poisson,20,24,0,0,3
6.0254564858041705e-5,4.832905435469002e-5,poisson,20,24,0,0,3
3.728973893448711e-5,2.150869613979012e-5,poisson,20,24,0,0,3
5.06578549509868e-5,7.728462179657072e-5,poisson,20,24,0,0,3
1.3095102249644697e-5,9.430259566288442e-5,poisson,20,24,0,0,3
4.522550760302693e-5,2.3552209232002496e-5,poisson,20,24,0,0,3
6.327141681686044e-6,9.158876005094498e-5,poisson,20,24,0,0,3
5.1719129108823835e-5,5.08764460682869e-5,poisson,20,24,0,0,3
2.0642640511505308e-5,9.437008041422815e-5,poisson,20,24,0,0,3
9.476470765657723e-5,9.43461659597233e-5,poisson,20,24,0,0,3
2.5030836951918902e-5,6.44214593572542e-5,poisson,20,24,0,0,3
5.0672695762477815e-5,4.712101526092738e-5,poisson,20,24,0,0,3
3.2021510880440475e-6,8.27303733676672e-5,poisson,20,24,0,0,3
3.268489008769393e-5,9.329809623304755e-5,poisson,20,24,0,0,3
6.866382642183453e-5,6.266102395020426e-5,poisson,20,24,0,0,3
4.3498147372156385e-5,1.9518929324112834e-5,poisson,20,24,0,0,3
8.797684574965388e-5,4.567933471407741e-5,poisson,20,24,0,0,3
6.021639895625413e-5,5.189184010960162e-5,poisson,20,22,0,0,4
3.959602816030383e-5,9.831477135885508e-5,poisson,20,22,0,0,4
2.4021920654922726e-5,8.422547392547131e-6,poisson,20,22,0,0,4
2.6508873351849618e-5,9.213367269840092e-5,poisson,20,22,0,0,4
4.36524975579232e-5,1.6829097410663965e-5,poisson,20,22,0,0,4
4.5624172291718424e-5,5.664959233254194e-5,poisson,20,22,0,0,4
8.605560518335551e-5,8.657416480127723e-5,poisson,20,22,0,0,4
1.7208743561059236e-5,7.456600072328001e-5,poisson,20,22,0,0,4
9.509670166298748e-5,9.968815550673753e-5,poisson,20,22,0,0,4
9.143136958591641e-5,6.807573351543397e-5,poisson,20,22,0,0,4
2.2569322772324087e-5,1.9463543058373034e-5,poisson,20,22,0,0,4
4.529875300358981e-5,7.031245599500835e-6,poisson,20,22,0,0,4
8.265085478778929e-5,2.7888607722707093e-5,poisson,20,22,0,0,4
4.3661671993322676e-5,9.252621035557241e-5,poisson,20,22,0,0,4
5.8058942621573806e-5,4.476625125389546e-5,poisson,20,22,0,0,4
7.476897770538926e-5,5.4402445140294734e-5,poisson,20,22,0,0,4
9.554826049134136e-5,4.194166162051261e-6,poisson,20,22,0,0,4
1.6923620132729412e-6,8.99963296018541e-5,poisson,20,22,0,0,4
7.161153724882751e-5,3.3583640935830776e-5,poisson,20,22,0,0,4
6.018499284982681e-5,1.118769666645676e-5,poisson,20,22,0,0,4
6.591777494177222e-5,9.550939488690347e-5,poisson,20,22,0,0,4
7.857610664796085e-5,1.0249051777645945e-5,poisson,20,22,0,0,4
3.369808029383421e-5,8.250634579453618e-5,poisson,40,31,0,0,5
8.059319588355721e-5,5.7786468765698376e-5,poisson,40,31,0,0,5
6.599267858546228e-5,7.058240443002432e-5,poisson,40,31,0,0,5
5.138542759232223e-5,6.328834153246135e-5,poisson,40,31,0,0,5
6.510712602175773e-5,5.588817456737161e-6,poisson,40,31,0,0,5
2.27935581933707e-6,4.6392348781228066e-5,poisson,40,31,0,0,5
3.712342982180417e-5,9.968303311616183e-5,poisson,40,31,0,0,5
9.373573574703187e-5,2.4284170544706287e-5,poisson,40,31,0,0,5
8.030611285939814e-5,2.4216894130222502e-5,poisson,40,31,0,0,5
7.059765404555947e-5,6.615661177784204e-5,poisson,40,31,0,0,5
5.477417786605657e-5,4.259329347405583e-5,poisson,40,31,0,0,5
2.5360220763832333e-5,1.2797650834545494e-5,poisson,40,31,0,0,5
2.222720207646489e-5,7.19333377899602e-5,poisson,40,31,0,0,5
1.938511719927192e-5,4.672232712619007e-6,poisson,40,31,0,0,5
7.912381491623819e-5,1.676580416969955e-5,poisson,40,31,0,0,5
1.6492242575623095e-5,4.818492319900543e-5,poisson,40,31,0,0,5
4.9019902804866434e-5,1.9152157939970495e-5,poisson,40,31,0,0,5
5.299521284177899e-6,9.522287943400443e-6,poisson,40,31,0,0,5
9.375105351209641e-5,3.515365091152489e-6,poisson,40,31,0,0,5
4.3881206936202944e-5,2.5199597375467422e-5,poisson,40,31,0,0,5
