RunID,seed,dist_m,centroid_x_m,centroid_y_m,seed_x_m,seed_y_m
Run_1_1,1,1.6361694867793938e-05,2.18e-05,3e-05,5.442167492583394e-06,2.9644507938064635e-05
Run_1_1,2,9.340750805539368e-06,4.72e-05,6.38e-05,5.613845947664231e-05,6.65117462631315e-05
Run_1_1,3,1.775844772200508e-05,8.7e-05,4.88e-05,9.375979355536402e-05,6.522156072314828e-05
Run_2_1,1,4.632157082708286e-06,6.6e-06,8.22e-05,2.407292975112796e-06,8.023071407806128e-05
Run_2_1,2,5.849494612489095e-06,5.22e-05,6.72e-05,5.1942588784731926e-05,7.304382808506489e-05
Run_2_1,3,6.051432449004983e-06,1.74e-05,6.72e-05,2.059096477460116e-05,7.234174858313055e-05
Run_2_1,4,5.404709624137486e-06,7.08e-05,9.34e-05,7.120640391949565e-05,9.87894083140418e-05
Run_2_1,5,5.9499464856437446e-06,3.26e-05,7.4e-06,2.7272126474417747e-05,4.751297133043409e-06
Run_2_1,6,2.5744950673629097e-06,6.66e-05,9.2e-06,6.676597748883068e-05,6.630860781297088e-06
Run_2_1,7,1.0541234272862986e-06,9.4e-05,5.44e-05,9.483734064269812e-05,5.504034119658172e-05
Run_2_1,8,5.6947315728077506e-06,8.72e-05,8.72e-05,8.415735275484622e-05,9.201375793199986e-05
Run_2_1,9,1.7647164252545408e-06,4.62e-05,9.32e-05,4.7918490390293305e-05,9.279873345512898e-05
Run_2_1,10,4.40487386294465e-06,8.02e-05,6.36e-05,8.2650077319704e-05,5.993939419277014e-05
Run_2_1,11,2.8500449194422637e-06,8.2e-06,1.26e-05,1.0761975613422691e-05,1.1351385968737304e-05
Run_2_1,12,7.470592012689188e-06,1.84e-05,3.12e-05,2.213453829754144e-05,2.4729840131476523e-05
Run_2_1,13,5.938829093536411e-07,6.66e-05,4.5e-05,6.717478365171701e-05,4.514940101653338e-05
Run_2_1,14,2.3706248484190947e-06,4.96e-05,2.88e-05,5.053169666789472e-05,3.097986318171025e-05
Run_2_1,15,3.700891337467979e-06,8.82e-05,2.24e-05,8.849425918888301e-05,2.6089174463413656e-05
Run_2_1,16,2.947370102287689e-06,3.34e-05,5.18e-05,3.5604692250490193e-05,5.3756098821759225e-05
Run_2_1,17,2.890158905411114e-06,5.88e-05,9.36e-05,5.7321385014802215e-05,9.60832873824984e-05
Run_2_1,18,3.7675981192846626e-06,4.72e-05,8.06e-05,5.091687752865255e-05,7.998386931139976e-05
Run_2_1,19,7.527537536994351e-06,6.26e-05,7.9e-05,5.508991004899144e-05,7.951222094707191e-05
Run_2_1,20,5.237157773835354e-06,3.06e-05,8.88e-05,3.561209205072373e-05,8.72811995446682e-05
Run_3_1,1,5.846009698650791e-06,8.4e-05,6.92e-05,7.985588633455336e-05,6.507663349620998e-05
Run_3_1,2,1.0306146490641324e-05,7.58e-05,9.8e-06,6.569372608792038e-05,1.181987205054611e-05
Run_3_1,3,4.213437684207302e-06,6.44e-05,2.76e-05,6.093819325324149e-05,2.519813589751721e-05
Run_3_1,4,3.2040662230612506e-06,4.16e-05,8.04e-05,4.4795630616135897e-05,8.063234742730856e-05
Run_3_1,5,6.11332145971777e-06,5.98e-05,9.1e-05,5.380502543412149e-05,8.98029288975522e-05
Run_3_1,6,8.49902310532722e-06,9.6e-05,3.64e-05,9.72232433501631e-05,4.48105332441628e-05
Run_3_1,7,1.3186699954806852e-05,1.84e-05,1.12e-05,3.145052732434124e-05,9.30981687270105e-06
Run_3_1,8,2.040716141607274e-06,2.98e-05,7.24e-05,2.893103593960405e-05,7.055353748146445e-05
Run_3_1,9,4.686424478040376e-06,6.42e-05,4.58e-05,6.0254564858041705e-05,4.832905435469002e-05
Run_3_1,10,1.4943297856885585e-05,2.46e-05,2.94e-05,3.728973893448711e-05,2.150869613979012e-05
Run_3_1,11,4.708479441564721e-06,5.3e-05,7.32e-05,5.06578549509868e-05,7.728462179657072e-05
